Date,Average SoilMoisture Volume (at 15cm)
2020/01/31,2.81
2020/01/30,2.91
2020/01/29,3.02
2020/01/28,3.02
2020/01/27,3.12
2020/01/26,3.26
2020/01/25,3.35
2020/01/24,3.49
2020/01/23,3.66
2020/01/22,3.86
2020/01/21,4.05
2020/01/20,4.22
2020/01/19,4.37
2020/01/18,4.54
2020/01/17,4.68
2020/01/16,4.88
2020/01/15,5.12
2020/01/14,5.38
2020/01/13,5.64
2020/01/12,5.97
2020/01/11,6.23
2020/01/10,6.55
2020/01/09,6.84
2020/01/08,7.17
2020/01/07,7.5
2020/01/06,7.41
2020/01/05,7.8
2020/01/04,8.14
2020/01/03,8.16
2020/01/02,7.99
2020/01/01,5.87
2020/02/29,1.99
2020/02/28,2.0
2020/02/27,2.04
2020/02/26,2.1
2020/02/25,2.13
2020/02/24,2.2
2020/02/23,2.25
2020/02/22,2.31
2020/02/21,2.4
2020/02/20,2.47
2020/02/19,2.56
2020/02/18,2.66
2020/02/17,2.76
2020/02/16,2.87
2020/02/15,2.98
2020/02/14,3.13
2020/02/13,3.28
2020/02/12,3.41
2020/02/11,3.56
2020/02/10,3.71
2020/02/09,3.87
2020/02/08,3.96
2020/02/07,2.23
2020/02/06,2.21
2020/02/05,2.3
2020/02/04,2.36
2020/02/03,2.53
2020/02/02,2.61
2020/02/01,2.7
2020/03/31,4.73
2020/03/30,5.0
2020/03/29,5.3
2020/03/28,5.63
2020/03/27,5.97
2020/03/26,6.38
2020/03/25,6.8
2020/03/24,7.07
2020/03/23,7.57
2020/03/22,8.08
2020/03/21,8.69
2020/03/20,9.34
2020/03/19,8.29
2020/03/18,5.14
2020/03/17,5.36
2020/03/16,5.68
2020/03/15,6.05
2020/03/14,6.43
2020/03/13,6.23
2020/03/12,6.39
2020/03/11,6.57
2020/03/10,6.78
2020/03/09,6.81
2020/03/08,6.64
2020/03/07,7.03
2020/03/06,7.47
2020/03/05,7.95
2020/03/04,8.49
2020/03/03,9.07
2020/03/02,9.67
2020/03/01,10.11
2020/04/30,13.87
2020/04/29,15.05
2020/04/28,16.41
2020/04/27,14.73
2020/04/26,15.95
2020/04/25,16.42
2020/04/24,17.8
2020/04/23,19.21
2020/04/22,20.94
2020/04/21,22.37
2020/04/20,24.58
2020/04/19,8.23
2020/04/18,8.88
2020/04/17,5.7
2020/04/16,5.24
2020/04/15,5.37
2020/04/14,5.55
2020/04/13,5.75
2020/04/12,5.93
2020/04/11,6.02
2020/04/10,6.44
2020/04/09,6.88
2020/04/08,7.26
2020/04/07,7.7
2020/04/06,5.12
2020/04/05,4.01
2020/04/04,4.04
2020/04/03,4.18
2020/04/02,4.3
2020/04/01,4.49
2020/05/31,32.38
2020/05/30,13.27
2020/05/29,13.97
2020/05/28,13.36
2020/05/27,14.5
2020/05/26,15.72
2020/05/25,15.87
2020/05/24,16.78
2020/05/23,18.24
2020/05/22,19.9
2020/05/21,21.72
2020/05/20,23.59
2020/05/17,21.43
2020/05/16,21.82
2020/05/15,22.39
2020/05/14,23.83
2020/05/13,25.87
2020/05/12,28.36
2020/05/11,30.47
2020/05/10,33.08
2020/05/09,36.65
2020/05/08,29.99
2020/05/07,28.92
2020/05/06,27.15
2020/05/05,13.46
2020/05/04,13.51
2020/05/03,14.25
2020/05/02,15.48
2020/05/01,15.84
2020/06/28,37.32
2020/06/27,33.38
2020/06/26,29.7
2020/06/25,31.37
2020/06/24,33.47
2020/06/23,35.16
2020/06/22,36.73
2020/06/21,37.11
2020/06/20,38.46
2020/06/19,38.06
2020/06/18,41.38
2020/06/17,37.72
2020/06/16,40.82
2020/06/15,37.05
2020/06/14,37.23
2020/06/13,38.69
2020/06/12,40.69
2020/06/11,38.05
2020/06/10,40.54
2020/06/09,28.32
2020/06/08,21.38
2020/06/07,22.62
2020/06/06,24.28
2020/06/05,26.05
2020/06/04,27.97
2020/06/03,28.97
2020/06/02,31.27
2020/06/01,28.04
2020/07/31,36.18
2020/07/30,36.55
2020/07/29,39.39
2020/07/28,40.64
2020/07/27,36.07
2020/07/26,38.22
2020/07/25,41.33
2020/07/24,41.16
2020/07/23,41.46
2020/07/22,40.5
2020/07/21,34.77
2020/07/20,36.77
2020/07/19,36.87
2020/07/06,41.47
2020/07/03,40.56
2020/07/02,40.24
2020/08/31,34.0
2020/08/30,36.57
2020/08/29,40.65
2020/08/28,38.73
2020/08/27,39.0
2020/08/26,35.47
2020/08/25,33.74
2020/08/24,35.35
2020/08/23,38.0
2020/08/22,37.72
2020/08/21,40.44
2020/08/20,41.65
2020/08/19,41.29
2020/08/18,40.13
2020/08/17,41.27
2020/08/16,41.76
2020/08/15,41.7
2020/08/14,41.72
2020/08/13,41.5
2020/08/12,41.61
2020/08/11,40.18
2020/08/10,41.36
2020/08/09,40.75
2020/08/08,33.12
2020/08/07,35.03
2020/08/06,37.63
2020/08/05,38.15
2020/08/04,38.69
2020/08/03,39.47
2020/08/02,40.46
2020/08/01,40.49
2020/09/23,36.58
2020/09/22,38.46
2020/09/21,40.57
2020/09/20,41.07
2020/09/19,41.12
2020/09/18,40.93
2020/09/17,40.37
2020/09/16,40.8
2020/09/15,41.07
2020/09/14,41.11
2020/09/13,41.15
2020/09/12,40.76
2020/09/11,41.51
2020/09/10,33.73
2020/09/09,25.98
2020/09/08,27.35
2020/09/07,28.0
2020/09/06,29.05
2020/09/05,29.7
2020/09/04,31.89
2020/09/03,34.22
2020/09/02,36.55
2020/09/01,33.44
